userIdA,userIdB,JaccardDistance
187822,319456,0.0
76221,126300,0.0
99018,217486,0.0
4172,246357,0.0
13225,173828,0.0
21045,221069,0.0
21045,21120,0.0
33107,303158,0.0
33107,127410,0.0
41037,199268,0.0
33107,264861,0.0
49206,255254,0.0
33440,125490,0.0
65547,238938,0.0
33440,321998,0.0
77272,223903,0.0
35852,259878,0.0
103350,244189,0.0
36694,221870,0.0
156027,303903,0.0
41037,245809,0.0
157462,288245,0.0
49202,263166,0.0
186881,210131,0.0
49206,202726,0.0
187822,232830,0.0
56874,165497,0.0
219597,246357,0.0
58395,320183,0.0
21743,290387,0.0
73453,219597,0.0
100994,211895,0.0
76221,165497,0.0
21881,152764,0.0
95443,180749,0.0
21409,70651,0.0
96382,180749,0.0
16741,19520,0.0
105060,184528,0.0
7081,277281,0.0
143452,264861,0.0
38660,171591,0.0
149298,166734,0.0
44553,117909,0.0
152985,209454,0.0
76751,228825,0.0
152985,239331,0.0
94041,180690,0.0
154492,246357,0.0
29124,310027,0.0
154492,289956,0.0
151082,153857,0.0
156027,187860,0.0
7968,226764,0.0
161179,320183,0.0
22064,23893,0.0
170424,202726,0.0
44861,303903,0.0
4172,258277,0.0
251038,258277,0.0
220443,305783,0.0
152849,180749,0.0
39317,307349,0.0
46687,161179,0.0
98809,199093,0.0
30002,58395,0.0
74193,193321,0.0
196228,199268,0.0
298364,299325,0.0
305783,322893,0.0
102934,142112,0.0
74241,328161,0.0
6040,191167,0.0
219597,264861,0.0
126365,318177,0.0
33107,202726,0.0
165829,277929,0.0
49202,236132,0.0
165829,313887,0.0
75023,238221,0.0
123839,249671,0.0
144245,269853,0.0
123839,306830,0.0
169233,330387,0.0
123839,176923,0.0
187822,283981,0.0
207718,300978,0.0
152350,181287,0.0
68804,174438,0.0
162867,184266,0.0
84479,313386,0.0
140719,149109,0.0
84479,223914,0.0
126365,277178,0.0
76751,113896,0.0
46344,313548,0.0
94109,135994,0.0
29124,270951,0.0
10633,72856,0.0
21755,291382,0.0
